,Date,MinTemp,MaxTemp,GDD
0,2015-01-01,-7.6,-3.0,0.0
1,2015-01-02,-14.2,-3.4,0.0
2,2015-01-03,-17.7,-8.5,0.0
3,2015-01-04,-8.6,3.0,0.0
4,2015-01-05,-17.9,-5.3,0.0
5,2015-01-06,-19.1,-8.6,0.0
6,2015-01-07,-26.4,-9.0,0.0
7,2015-01-08,-27.5,-7.4,0.0
8,2015-01-09,-14.6,-6.1,0.0
9,2015-01-10,-13.4,-9.0,0.0
10,2015-01-11,-12.2,-4.2,0.0
11,2015-01-12,-16.9,-1.9,0.0
12,2015-01-13,-23.1,-17.0,0.0
13,2015-01-14,-23.3,-14.4,0.0
14,2015-01-15,-20.8,-4.7,0.0
15,2015-01-16,-20.2,-2.4,0.0
16,2015-01-17,-23.9,-14.9,0.0
17,2015-01-18,-15.2,2.7,0.0
18,2015-01-19,-13.6,1.4,0.0
19,2015-01-20,-18.3,-13.7,0.0
20,2015-01-21,-20.8,-10.6,0.0
21,2015-01-22,-18.1,-9.3,0.0
22,2015-01-23,-12.3,-0.2,0.0
23,2015-01-24,-2.9,-0.7,0.0
24,2015-01-25,-17.8,-1.6,0.0
25,2015-01-26,-21.6,-14.5,0.0
26,2015-01-27,-16.2,-9.6,0.0
27,2015-01-28,-15.2,-8.6,0.0
28,2015-01-29,-16.2,-0.2,0.0
29,2015-01-30,-18.6,-2.1,0.0
30,2015-01-31,-22.8,-14.7,0.0
31,2015-02-01,-20.2,-14.2,0.0
32,2015-02-02,-22.5,-17.3,0.0
33,2015-02-03,-24.4,-8.5,0.0
34,2015-02-04,-9.5,-3.7,0.0
35,2015-02-05,-22.2,-7.1,0.0
36,2015-02-06,-24.3,-9.9,0.0
37,2015-02-07,-17.8,-12.5,0.0
38,2015-02-08,-18.5,-13.9,0.0
39,2015-02-09,-15.6,-11.7,0.0
40,2015-02-10,-14.8,-7.1,0.0
41,2015-02-11,-17.4,-11.1,0.0
42,2015-02-12,-18.1,-7.4,0.0
43,2015-02-13,-23.7,-18.0,0.0
44,2015-02-14,-20.8,-13.9,0.0
45,2015-02-15,-21.9,-13.9,0.0
46,2015-02-16,-24.1,-16.3,0.0
47,2015-02-17,-24.2,-13.0,0.0
48,2015-02-18,-21.6,-7.0,0.0
49,2015-02-19,-18.5,-8.0,0.0
50,2015-02-20,-19.6,-14.6,0.0
51,2015-02-21,-17.5,-7.6,0.0
52,2015-02-22,-11.6,-3.6,0.0
53,2015-02-23,-24.6,-11.1,0.0
54,2015-02-24,-25.4,-8.7,0.0
55,2015-02-25,-17.6,-4.6,0.0
56,2015-02-26,-21.5,-12.7,0.0
57,2015-02-27,-21.8,-9.5,0.0
58,2015-02-28,-17.0,-5.5,0.0
59,2015-03-01,-17.3,-3.4,0.0
60,2015-03-02,-11.9,-2.4,0.0
61,2015-03-03,-19.1,-3.7,0.0
62,2015-03-04,-5.8,1.9,0.0
63,2015-03-05,-18.6,-5.8,0.0
64,2015-03-06,-20.6,-6.9,0.0
65,2015-03-07,-13.3,-2.3,0.0
66,2015-03-08,-6.4,-0.3,0.0
67,2015-03-09,-3.5,2.5,0.0
68,2015-03-10,-4.1,7.8,0.0
69,2015-03-11,-0.3,7.8,0.0
70,2015-03-12,-8.8,-0.3,0.0
71,2015-03-13,-10.0,-2.0,0.0
72,2015-03-14,-3.3,0.3,0.0
73,2015-03-15,-8.1,0.0,0.0
74,2015-03-16,-11.4,2.3,0.0
75,2015-03-17,-7.8,1.4,0.0
76,2015-03-18,-11.8,-5.1,0.0
77,2015-03-19,-12.8,-1.9,0.0
78,2015-03-20,-9.9,3.2,0.0
79,2015-03-21,-10.3,1.8,0.0
80,2015-03-22,-15.4,-8.9,0.0
81,2015-03-23,-15.9,-6.1,0.0
82,2015-03-24,-12.9,-0.4,0.0
83,2015-03-25,-8.7,6.9,0.0
84,2015-03-26,1.0,5.3,0.0
85,2015-03-27,-5.5,2.2,0.0
86,2015-03-28,-9.3,-1.8,0.0
87,2015-03-29,-9.8,3.3,0.0
88,2015-03-30,-0.7,4.0,0.0
89,2015-03-31,-4.9,2.2,0.0
90,2015-04-01,-6.7,2.0,0.0
