,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,2015-01-01,2015,1,1,‡,-3.0,,-8.1,,-5.6,,23.6,,0.0,,0.0,,0.2,,0.2,,0.0,,23.0,,56,
1,2015-01-02,2015,1,2,‡,-3.8,,-15.8,,-9.8,,27.8,,0.0,,0.0,,0.0,T,0.0,T,0.0,T,28.0,,50,
2,2015-01-03,2015,1,3,‡,-9.6,,-15.5,,-12.6,,30.6,,0.0,,0.0,,18.0,,13.6,,0.0,T,7.0,,43,
3,2015-01-04,2015,1,4,‡,-0.4,,-9.6,,-5.0,,23.0,,0.0,,10.8,,0.4,,11.2,,16.0,,29.0,,54,
4,2015-01-05,2015,1,5,‡,-8.6,,-21.9,,-15.3,,33.3,,0.0,,0.0,,0.0,T,0.0,T,15.0,,28.0,,56,
5,2015-01-06,2015,1,6,‡,-9.6,,-24.8,,-17.2,,35.2,,0.0,,0.0,,0.6,,0.4,,15.0,,,,<31,
6,2015-01-07,2015,1,7,‡,-10.3,,-29.0,,-19.7,,37.7,,0.0,,0.0,,2.0,,0.8,,16.0,,32.0,,61,
7,2015-01-08,2015,1,8,‡,-8.4,,-29.9,,-19.2,,37.2,,0.0,,0.0,,2.6,,1.6,,15.0,,20.0,,48,
8,2015-01-09,2015,1,9,‡,-6.3,,-15.8,,-11.1,,29.1,,0.0,,0.0,,4.4,,2.6,,20.0,,26.0,,54,
9,2015-01-10,2015,1,10,‡,-9.5,,-16.8,,-13.2,,31.2,,0.0,,0.0,,0.0,,0.0,,20.0,,21.0,,46,
10,2015-01-11,2015,1,11,‡,-3.5,,-13.7,,-8.6,,26.6,,0.0,,0.0,,0.4,,0.2,,20.0,,,,<31,
11,2015-01-12,2015,1,12,‡,-2.4,,-20.2,,-11.3,,29.3,,0.0,,0.0,,5.6,,2.8,,23.0,,34.0,,52,
12,2015-01-13,2015,1,13,‡,-17.3,,-24.8,,-21.1,,39.1,,0.0,,0.0,,0.0,,0.0,,25.0,,35.0,,35,
13,2015-01-14,2015,1,14,‡,-13.6,,-26.3,,-20.0,,38.0,,0.0,,0.0,,0.0,,0.0,,25.0,,,,<31,
14,2015-01-15,2015,1,15,‡,-3.7,,-22.1,,-12.9,,30.9,,0.0,,0.0,,2.0,,1.6,,25.0,,20.0,,41,
15,2015-01-16,2015,1,16,‡,-3.0,,-22.0,,-12.5,,30.5,,0.0,,0.0,,1.0,,0.4,,26.0,,30.0,,59,
16,2015-01-17,2015,1,17,‡,-14.9,,-26.9,,-20.9,,38.9,,0.0,,0.0,,0.0,,0.0,,26.0,,10.0,,43,
17,2015-01-18,2015,1,18,‡,4.4,,-15.2,,-5.4,,23.4,,0.0,,0.6,,0.0,,0.6,,26.0,,17.0,,39,
18,2015-01-19,2015,1,19,‡,0.3,,-16.6,,-8.2,,26.2,,0.0,,0.0,,4.0,,2.0,,29.0,,29.0,,52,
19,2015-01-20,2015,1,20,‡,-14.9,,-20.9,,-17.9,,35.9,,0.0,,0.0,,0.0,,0.0,,26.0,,28.0,,35,
20,2015-01-21,2015,1,21,‡,-9.9,,-21.6,,-15.8,,33.8,,0.0,,0.0,,0.0,,0.0,,26.0,,,,<31,
21,2015-01-22,2015,1,22,‡,-7.8,,-19.7,,-13.8,,31.8,,0.0,,0.0,,0.0,,0.0,,26.0,,,,<31,
22,2015-01-23,2015,1,23,‡,0.1,,-11.9,,-5.9,,23.9,,0.0,,0.0,,0.0,T,0.0,T,24.0,,20.0,,56,
23,2015-01-24,2015,1,24,‡,-1.8,,-5.2,,-3.5,,21.5,,0.0,,0.0,,2.8,,1.2,,23.0,,32.0,,56,
24,2015-01-25,2015,1,25,‡,-5.2,,-18.4,,-11.8,,29.8,,0.0,,0.0,,0.4,,0.0,T,25.0,,32.0,,57,
25,2015-01-26,2015,1,26,‡,-13.5,,-24.2,,-18.9,,36.9,,0.0,,0.0,,0.0,,0.0,,25.0,,5.0,,35,
26,2015-01-27,2015,1,27,‡,-9.2,,-17.5,,-13.4,,31.4,,0.0,,0.0,,0.0,,0.0,,25.0,,33.0,,33,
27,2015-01-28,2015,1,28,‡,-8.0,,-18.8,,-13.4,,31.4,,0.0,,0.0,,0.0,,0.0,,25.0,,33.0,,32,
28,2015-01-29,2015,1,29,‡,-7.0,,-20.0,,-13.5,,31.5,,0.0,,2.4,,7.4,,9.0,,25.0,,8.0,,39,
29,2015-01-30,2015,1,30,‡,-5.5,,-20.6,,-13.1,,31.1,,0.0,,0.0,,3.0,,1.6,,33.0,,32.0,,56,
30,2015-01-31,2015,1,31,‡,-13.9,,-25.2,,-19.6,,37.6,,0.0,,0.0,,1.0,,0.4,,33.0,,,,<31,
31,2015-02-01,2015,2,1,‡,-13.9,,-20.3,,-17.1,,35.1,,0.0,,0.0,,0.0,T,0.0,,34.0,,33.0,,43,
32,2015-02-02,2015,2,2,‡,-14.7,,-23.1,,-18.9,,36.9,,0.0,,0.0,,5.4,,3.0,,35.0,,5.0,,52,
33,2015-02-03,2015,2,3,‡,-7.8,,-26.0,,-16.9,,34.9,,0.0,,0.0,,0.2,,0.2,,39.0,,21.0,,33,
34,2015-02-04,2015,2,4,‡,-5.0,,-12.7,,-8.9,,26.9,,0.0,,0.0,,9.2,,4.4,,39.0,,34.0,,43,
35,2015-02-05,2015,2,5,‡,-12.2,,-25.3,,-18.8,,36.8,,0.0,,0.0,,0.0,,0.0,,46.0,,27.0,,33,
36,2015-02-06,2015,2,6,‡,-7.9,,-22.8,,-15.4,,33.4,,0.0,,0.0,,1.8,,1.2,,46.0,,,,<31,
37,2015-02-07,2015,2,7,‡,-10.8,,-15.1,,-13.0,,31.0,,0.0,,0.0,,2.6,,2.2,,45.0,,3.0,,39,
38,2015-02-08,2015,2,8,‡,-13.4,,-17.5,,-15.5,,33.5,,0.0,,0.0,,5.6,,4.0,,47.0,,5.0,,50,
39,2015-02-09,2015,2,9,‡,-12.1,,-15.5,,-13.8,,31.8,,0.0,,0.0,,0.4,,0.2,,51.0,,8.0,,46,
40,2015-02-10,2015,2,10,‡,-4.6,,-13.1,,-8.9,,26.9,,0.0,,0.0,,0.0,T,0.0,T,51.0,,,,<31,
41,2015-02-11,2015,2,11,‡,-11.2,,-17.2,,-14.2,,32.2,,0.0,,0.0,,6.0,,3.4,,50.0,,9.0,,33,
42,2015-02-12,2015,2,12,‡,-9.0,,-22.1,,-15.6,,33.6,,0.0,,0.0,,6.2,,3.2,,60.0,,33.0,,54,
43,2015-02-13,2015,2,13,‡,-18.8,,-26.8,,-22.8,,40.8,,0.0,,0.0,,0.2,,0.0,T,55.0,,29.0,,35,
44,2015-02-14,2015,2,14,‡,-12.9,,-21.4,,-17.2,,35.2,,0.0,,0.0,,8.8,,4.6,,59.0,,8.0,,41,
45,2015-02-15,2015,2,15,‡,-13.6,,-24.1,,-18.9,,36.9,,0.0,,0.0,,0.0,T,0.0,T,62.0,,32.0,,59,
46,2015-02-16,2015,2,16,‡,-16.8,,-26.6,,-21.7,,39.7,,0.0,,0.0,,0.0,,0.0,,61.0,,28.0,,46,
47,2015-02-17,2015,2,17,‡,-12.8,,-26.4,,-19.6,,37.6,,0.0,,0.0,,0.0,,0.0,,60.0,,,,<31,
48,2015-02-18,2015,2,18,‡,-7.2,,-22.7,,-15.0,,33.0,,0.0,,0.0,,0.4,,0.4,,59.0,,,,<31,
49,2015-02-19,2015,2,19,‡,-11.8,,-21.1,,-16.5,,34.5,,0.0,,0.0,,2.2,,1.6,,59.0,,30.0,,56,
50,2015-02-20,2015,2,20,‡,-14.3,,-22.9,,-18.6,,36.6,,0.0,,0.0,,0.0,T,0.0,T,59.0,,28.0,,50,
51,2015-02-21,2015,2,21,‡,-10.9,,-20.4,,-15.7,,33.7,,0.0,,0.0,,11.8,,8.0,,58.0,,,,<31,
52,2015-02-22,2015,2,22,‡,-3.5,,-15.7,,-9.6,,27.6,,0.0,,0.0,,1.2,,0.4,,66.0,,29.0,,50,
53,2015-02-23,2015,2,23,‡,-15.6,,-26.8,,-21.2,,39.2,,0.0,,0.0,,0.0,,0.0,,64.0,,26.0,,44,
54,2015-02-24,2015,2,24,‡,-9.9,,-25.5,,-17.7,,35.7,,0.0,,0.0,,0.0,T,0.0,T,63.0,,18.0,,50,
55,2015-02-25,2015,2,25,‡,-8.1,,-22.1,,-15.1,,33.1,,0.0,,0.0,,2.4,,1.2,,62.0,,30.0,,52,
56,2015-02-26,2015,2,26,‡,-12.8,,-23.4,,-18.1,,36.1,,0.0,,0.0,,0.0,,0.0,,62.0,,,,<31,
57,2015-02-27,2015,2,27,‡,-7.9,,-26.1,,-17.0,,35.0,,0.0,,0.0,,0.0,,0.0,,62.0,,,,<31,
58,2015-02-28,2015,2,28,‡,-4.8,,-19.3,,-12.1,,30.1,,0.0,,0.0,,0.0,,0.0,,60.0,,19.0,,41,
59,2015-03-01,2015,3,1,‡,-3.4,,-16.6,,-10.0,,28.0,,0.0,,0.0,,0.0,T,0.0,T,60.0,,18.0,,33,
60,2015-03-02,2015,3,2,‡,-2.3,,-16.6,,-9.5,,27.5,,0.0,,0.0,,0.2,,0.0,T,58.0,,29.0,,63,
61,2015-03-03,2015,3,3,‡,-5.1,,-19.6,,-12.4,,30.4,,0.0,,0.0,,5.4,,5.0,,56.0,,7.0,,32,
62,2015-03-04,2015,3,4,‡,2.1,,-9.2,,-3.6,,21.6,,0.0,,0.0,,0.0,T,0.0,T,59.0,,26.0,,50,
63,2015-03-05,2015,3,5,‡,-9.2,,-21.3,,-15.3,,33.3,,0.0,,0.0,,0.0,T,0.0,T,56.0,,27.0,,43,
64,2015-03-06,2015,3,6,‡,-7.0,,-23.5,,-15.3,,33.3,,0.0,,0.0,,0.0,,0.0,,56.0,,20.0,,54,
65,2015-03-07,2015,3,7,‡,-1.5,,-12.4,,-7.0,,25.0,,0.0,,0.2,,0.2,,0.2,,55.0,,23.0,,33,
66,2015-03-08,2015,3,8,‡,0.1,,-9.0,,-4.5,,22.5,,0.0,,0.0,,2.2,,1.6,,53.0,,26.0,,37,
67,2015-03-09,2015,3,9,‡,4.9,,-6.3,,-0.7,,18.7,,0.0,,0.0,,2.0,,0.8,,54.0,,21.0,,41,
68,2015-03-10,2015,3,10,‡,8.3,,-4.0,,2.2,,15.8,,0.0,,0.0,,0.0,,0.0,,50.0,,21.0,,43,
69,2015-03-11,2015,3,11,‡,7.5,,-2.3,,2.6,,15.4,,0.0,,0.0,,0.0,T,0.0,T,39.0,,33.0,,63,
70,2015-03-12,2015,3,12,‡,-2.2,,-9.1,,-5.7,,23.7,,0.0,,0.0,,0.0,,0.0,,28.0,,31.0,,52,
71,2015-03-13,2015,3,13,‡,-3.7,,-10.2,,-7.0,,25.0,,0.0,,0.0,,0.0,T,0.0,T,24.0,,8.0,,35,
72,2015-03-14,2015,3,14,‡,-0.5,,-5.2,,-2.9,,20.9,,0.0,,1.4,,3.6,,4.6,,21.0,,9.0,,35,
73,2015-03-15,2015,3,15,‡,2.1,,-5.8,,-1.9,,19.9,,0.0,,0.0,,3.8,,2.4,,26.0,,35.0,,39,
74,2015-03-16,2015,3,16,‡,4.6,,-7.7,,-1.6,,19.6,,0.0,,0.0,T,0.0,,0.0,T,26.0,,,,<31,
75,2015-03-17,2015,3,17,‡,1.4,,-7.4,,-3.0,,21.0,,0.0,,2.4,,0.0,T,2.4,,20.0,,33.0,,78,
76,2015-03-18,2015,3,18,‡,-3.9,,-11.4,,-7.7,,25.7,,0.0,,0.0,,0.0,,0.0,,20.0,,29.0,,54,
77,2015-03-19,2015,3,19,‡,-1.2,,-13.8,,-7.5,,25.5,,0.0,,0.0,,0.0,,0.0,,20.0,,28.0,,33,
78,2015-03-20,2015,3,20,‡,3.9,,-8.6,,-2.4,,20.4,,0.0,,0.0,,0.0,,0.0,,18.0,,16.0,,41,
79,2015-03-21,2015,3,21,‡,1.6,,-10.1,,-4.3,,22.3,,0.0,,1.6,,3.2,,4.4,,16.0,,29.0,,63,
80,2015-03-22,2015,3,22,‡,-7.9,,-15.4,,-11.7,,29.7,,0.0,,0.0,,0.0,T,0.0,T,14.0,,31.0,,48,
81,2015-03-23,2015,3,23,‡,-5.8,,-17.0,,-11.4,,29.4,,0.0,,0.0,,0.0,,0.0,,13.0,,27.0,,43,
82,2015-03-24,2015,3,24,‡,0.8,,-14.0,,-6.6,,24.6,,0.0,,0.0,,0.0,,0.0,,13.0,,,,<31,
83,2015-03-25,2015,3,25,‡,4.6,,-8.7,,-2.1,,20.1,,0.0,,0.4,,0.0,T,0.4,,12.0,,15.0,,48,
84,2015-03-26,2015,3,26,‡,4.3,,0.4,,2.4,,15.6,,0.0,,0.0,,0.0,T,0.0,T,10.0,,21.0,,37,
85,2015-03-27,2015,3,27,‡,0.4,,-9.2,,-4.4,,22.4,,0.0,,0.0,,1.8,,0.8,,9.0,,32.0,,39,
86,2015-03-28,2015,3,28,‡,-1.3,,-12.4,,-6.9,,24.9,,0.0,,0.0,,0.0,,0.0,,9.0,,33.0,,46,
87,2015-03-29,2015,3,29,‡,3.9,,-10.4,,-3.3,,21.3,,0.0,,0.0,,0.0,,0.0,,8.0,,18.0,,44,
88,2015-03-30,2015,3,30,‡,5.2,,-0.4,,2.4,,15.6,,0.0,,2.0,,0.2,,2.0,,8.0,,30.0,,56,
89,2015-03-31,2015,3,31,‡,2.3,,-5.2,,-1.5,,19.5,,0.0,,0.0,,0.0,T,0.0,T,4.0,,31.0,,41,
90,2015-04-01,2015,4,1,‡,2.8,,-7.4,,-2.3,,20.3,,0.0,,0.0,,0.0,,0.0,,4.0,,29.0,,39,
