,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,2015-01-01,2015,1,1,‡,-3.0,,-7.6,,-5.3,,23.3,,0.0,,0.0,,1.8,,1.8,,0.0,,22.0,,63,
1,2015-01-02,2015,1,2,‡,-3.4,,-14.2,,-8.8,,26.8,,0.0,,0.0,,0.0,T,0.0,T,1.0,,27.0,,50,
2,2015-01-03,2015,1,3,‡,-8.5,,-17.7,,-13.1,,31.1,,0.0,,0.0,,17.0,,17.0,,1.0,,3.0,,41,
3,2015-01-04,2015,1,4,‡,3.0,,-8.6,,-2.8,,20.8,,0.0,,26.8,,0.4,,27.2,,8.0,,26.0,,69,
4,2015-01-05,2015,1,5,‡,-5.3,,-17.9,,-11.6,,29.6,,0.0,,0.0,,0.0,T,0.0,T,6.0,,27.0,,74,
5,2015-01-06,2015,1,6,‡,-8.6,,-19.1,,-13.9,,31.9,,0.0,,0.0,,2.2,,2.2,,6.0,,22.0,,32,
6,2015-01-07,2015,1,7,‡,-9.0,,-26.4,,-17.7,,35.7,,0.0,,0.0,,3.8,,3.8,,8.0,,29.0,,48,
7,2015-01-08,2015,1,8,‡,-7.4,,-27.5,,-17.5,,35.5,,0.0,,0.0,,2.2,,2.2,,10.0,,18.0,,50,
8,2015-01-09,2015,1,9,‡,-6.1,,-14.6,,-10.4,,28.4,,0.0,,0.0,,2.6,,2.6,,12.0,,22.0,,57,
9,2015-01-10,2015,1,10,‡,-9.0,,-13.4,,-11.2,,29.2,,0.0,,0.0,,0.4,,0.4,,7.0,,22.0,,50,
10,2015-01-11,2015,1,11,‡,-4.2,,-12.2,,-8.2,,26.2,,0.0,,0.0,,0.0,T,0.0,T,7.0,,23.0,,37,
11,2015-01-12,2015,1,12,‡,-1.9,,-16.9,,-9.4,,27.4,,0.0,,0.0,,4.2,,4.2,,7.0,,34.0,,41,
12,2015-01-13,2015,1,13,‡,-17.0,,-23.1,,-20.1,,38.1,,0.0,,0.0,,0.0,,0.0,,10.0,,,,<31,
13,2015-01-14,2015,1,14,‡,-14.4,,-23.3,,-18.9,,36.9,,0.0,,0.0,,0.0,T,0.0,T,10.0,,,,<31,
14,2015-01-15,2015,1,15,‡,-4.7,,-20.8,,-12.8,,30.8,,0.0,,0.0,,0.8,,0.8,,10.0,,19.0,,35,
15,2015-01-16,2015,1,16,‡,-2.4,,-20.2,,-11.3,,29.3,,0.0,,0.0,,1.4,,1.4,,11.0,,28.0,,61,
16,2015-01-17,2015,1,17,‡,-14.9,,-23.9,,-19.4,,37.4,,0.0,,0.0,,0.0,,0.0,,11.0,,4.0,,32,
17,2015-01-18,2015,1,18,‡,2.7,,-15.2,,-6.3,,24.3,,0.0,,0.0,,4.4,,5.0,,11.0,,14.0,,41,
18,2015-01-19,2015,1,19,‡,1.4,,-13.6,,-6.1,,24.1,,0.0,,0.0,,1.0,,1.0,,11.0,,26.0,,50,
19,2015-01-20,2015,1,20,‡,-13.7,,-18.3,,-16.0,,34.0,,0.0,,0.0,,0.0,,0.0,,11.0,,26.0,,44,
20,2015-01-21,2015,1,21,‡,-10.6,,-20.8,,-15.7,,33.7,,0.0,,0.0,,0.0,,0.0,,11.0,,,,<31,
21,2015-01-22,2015,1,22,‡,-9.3,,-18.1,,-13.7,,31.7,,0.0,,0.0,,0.0,,0.0,,11.0,,,,<31,
22,2015-01-23,2015,1,23,‡,-0.2,,-12.3,,-6.3,,24.3,,0.0,,0.0,,0.0,T,0.0,T,10.0,,22.0,,56,
23,2015-01-24,2015,1,24,‡,-0.7,,-2.9,,-1.8,,19.8,,0.0,,0.0,,0.4,,0.4,,10.0,,22.0,,39,
24,2015-01-25,2015,1,25,‡,-1.6,,-17.8,,-9.7,,27.7,,0.0,,0.0,,0.0,T,0.0,T,10.0,,30.0,,52,
25,2015-01-26,2015,1,26,‡,-14.5,,-21.6,,-18.1,,36.1,,0.0,,0.0,,0.0,,0.0,,10.0,,2.0,,48,
26,2015-01-27,2015,1,27,‡,-9.6,,-16.2,,-12.9,,30.9,,0.0,,,M,,M,,M,10.0,,,,<31,
27,2015-01-28,2015,1,28,‡,-8.6,,-15.2,,-11.9,,29.9,,0.0,,0.0,,0.0,T,0.0,T,10.0,,,,<31,
28,2015-01-29,2015,1,29,‡,-0.2,,-16.2,,-8.2,,26.2,,0.0,,0.0,,3.4,,3.4,,10.0,,13.0,,46,
29,2015-01-30,2015,1,30,‡,-2.1,,-18.6,,-10.4,,28.4,,0.0,,0.0,,4.8,,4.8,,13.0,,28.0,,39,
30,2015-01-31,2015,1,31,‡,-14.7,,-22.8,,-18.8,,36.8,,0.0,,0.0,,0.0,T,0.0,T,14.0,,26.0,,41,
31,2015-02-01,2015,2,1,‡,-14.2,,-20.2,,-17.2,,35.2,,0.0,,0.0,,0.0,T,0.0,T,14.0,,5.0,,35,
32,2015-02-02,2015,2,2,‡,-17.3,,-22.5,,-19.9,,37.9,,0.0,,0.0,,6.8,,6.8,,14.0,,3.0,,56,
33,2015-02-03,2015,2,3,‡,-8.5,,-24.4,,-16.5,,34.5,,0.0,,0.0,,0.6,,0.6,,12.0,,,,<31,
