,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,2015-01-01,2015,1,1,‡,3.4,,-3.6,,-0.1,,18.1,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
1,2015-01-02,2015,1,2,‡,3.3,,-1.8,,0.8,,17.2,,0.0,,4.8,,0.0,,4.8,,,,,,<31,
2,2015-01-03,2015,1,3,‡,4.6,,-0.1,,2.3,,15.7,,0.0,,2.6,,0.0,,2.6,,,,,,<31,
3,2015-01-04,2015,1,4,‡,8.5,,3.9,,6.2,,11.8,,0.0,,21.4,,0.0,,21.4,,,,13.0,,41,
4,2015-01-05,2015,1,5,‡,10.0,,5.3,,7.7,,10.3,,0.0,,24.6,,0.0,,24.6,,,,,,<31,
5,2015-01-06,2015,1,6,‡,10.1,,5.8,,8.0,,10.0,,0.0,,0.0,,0.0,,0.0,,,,16.0,,33,
6,2015-01-07,2015,1,7,‡,7.2,,2.5,,4.9,,13.1,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
7,2015-01-08,2015,1,8,‡,7.9,,3.1,,5.5,,12.5,,0.0,,0.0,,0.0,,0.0,,,,,,<31,
8,2015-01-09,2015,1,9,‡,7.8,,2.5,,5.2,,12.8,,0.0,,0.6,,0.0,,0.6,,,,,,<31,
9,2015-01-10,2015,1,10,‡,7.0,,5.6,,6.3,,11.7,,0.0,,3.8,,0.0,,3.8,,,,,,<31,
10,2015-01-11,2015,1,11,‡,7.2,,5.6,,6.4,,11.6,,0.0,,0.0,T,0.0,,0.0,T,,,,,<31,
11,2015-01-12,2015,1,12,‡,7.9,,3.5,,5.7,,12.3,,0.0,,0.0,T,0.0,,0.0,T,,,,,<31,
12,2015-01-13,2015,1,13,‡,6.8,,1.7,,4.3,,13.7,,0.0,,,M,0.0,,,M,,,,,<31,
