
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Max (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
46.5, -60, 1971, 1.04055, 0.232873, 0.380558, 4.48457, 9.01347, 11.0401, 13.6713, 14.8485, 13.5767, 11.3094, 6.80639, 4.76463, 2.01268, 4.6262, 13.1866, 10.5642, 7.59742
46.5, -60, 1972, 1.52508, 0.647993, 0.105132, 3.69929, 7.1564, 11.851, 12.7973, 13.9277, 13.7951, 11.3466, 7.63284, 2.86087, 1.67798, 3.65361, 12.8587, 10.9249, 7.27879
46.5, -60, 1973, 1.59212, -1.22845, -0.143262, 1.7282, 5.46576, 9.67497, 12.4552, 14.06, 13.3479, 9.98706, 8.18913, 2.34806, 0.903909, 2.35023, 12.0634, 10.508, 6.45639
46.5, -60, 1974, -0.818039, -0.164521, -0.559492, 2.04929, 4.53016, 10.2773, 13.4793, 13.9355, 13.1232, 10.2362, 6.96795, 4.77818, 1.26521, 2.00665, 12.564, 10.1091, 6.48625
46.5, -60, 1975, 1.4801, 0.109824, 1.72007, 4.11852, 7.18242, 10.1657, 13.3229, 13.9303, 14.4908, 12.3699, 8.23345, 6.04462, 2.54485, 4.34034, 12.473, 11.6981, 7.76405
46.5, -60, 1976, 1.66372, -0.392714, -0.277905, 3.41296, 6.68307, 10.8476, 13.333, 14.4404, 13.8768, 10.2454, 6.59238, 3.90642, 1.72581, 3.27271, 12.8737, 10.2382, 7.02759
46.5, -60, 1977, 0.631926, -1.263, -1.06191, 1.08008, 6.91118, 9.31286, 12.6061, 14.2513, 14.7963, 11.5111, 9.29883, 4.69354, 1.35416, 2.30978, 12.0568, 11.8688, 6.89736
46.5, -60, 1978, 1.05509, 1.45146, 1.7554, 2.22355, 5.711, 11.4561, 14.01, 14.441, 12.9687, 10.5069, 8.26788, 5.35121, 2.61925, 3.22998, 13.3024, 10.5811, 7.43319
46.5, -60, 1979, 1.62415, 2.28593, 1.45669, 3.65834, 7.5515, 9.63811, 15.2731, 13.6404, 13.4495, 12.8318, 7.06101, 5.18452, 3.03154, 4.22218, 12.8505, 11.1141, 7.80458
46.5, -60, 1980, 1.43936, -2.72287, -0.0913269, 2.93833, 9.60153, 12.4999, 14.5404, 14.8448, 13.9294, 10.9535, 8.01831, 4.41728, 1.04459, 4.14951, 13.9617, 10.9671, 7.53071
