
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
46.5, -60, 1971, -1.04676, -2.82284, -1.90806, 1.90193, 6.39017, 8.66811, 11.6093, 12.5685, 11.6199, 9.51143, 5.30381, 2.81031, -0.353098, 2.12802, 10.9487, 8.8117, 5.38382
46.5, -60, 1972, -0.326926, -1.4747, -1.54117, 1.0118, 4.72769, 9.17569, 10.6879, 11.9204, 11.5961, 9.29874, 6.04737, 1.34755, -0.151359, 1.39944, 10.5947, 8.98072, 5.20586
46.5, -60, 1973, 0.112581, -3.29867, -2.16637, 0.159907, 3.83581, 7.3395, 10.3776, 11.8811, 11.3618, 8.49171, 6.01711, 0.470024, -0.905356, 0.609782, 9.86609, 8.62354, 4.54851
46.5, -60, 1974, -2.68639, -2.1819, -2.50993, 0.122161, 2.9532, 7.63252, 11.1547, 11.9313, 11.2594, 8.67551, 5.70846, 3.35263, -0.505217, 0.188479, 10.2395, 8.54778, 4.61764
46.5, -60, 1975, -0.517719, -2.50937, -0.87137, 1.65368, 5.12418, 8.17433, 11.0978, 11.853, 12.2566, 10.2671, 7.06066, 4.68116, 0.551355, 1.96883, 10.375, 9.86144, 5.68917
46.5, -60, 1976, 0.105446, -1.97895, -2.01761, 1.21833, 4.29634, 8.63134, 11.1043, 12.3039, 11.832, 8.7401, 5.26839, 2.40221, 0.176233, 1.16569, 10.6798, 8.6135, 5.15882
46.5, -60, 1977, -1.43488, -3.27663, -3.13485, -0.923214, 4.71151, 7.14427, 10.382, 11.7124, 12.2241, 9.57684, 7.39917, 3.14434, -0.522389, 0.217818, 9.74621, 9.73337, 4.79375
46.5, -60, 1978, -0.758301, -0.18921, 0.400221, 0.671255, 3.97442, 8.80175, 11.6765, 12.1766, 11.1223, 8.72778, 6.77936, 3.5947, 0.882397, 1.68196, 10.8849, 8.87649, 5.58145
46.5, -60, 1979, -0.34827, -0.396702, -0.491098, 1.73008, 5.39069, 7.88727, 12.5004, 11.652, 11.4663, 10.946, 5.79247, 3.03048, 0.761835, 2.20989, 10.6799, 9.4016, 5.7633
46.5, -60, 1980, -0.550336, -4.54562, -2.21702, 0.973852, 6.59809, 9.78047, 12.2678, 12.6618, 11.8543, 9.33689, 6.18957, 3.11844, -0.659169, 1.78497, 11.57, 9.12692, 5.45569
46.5, -60, 1981, 1.20981, -1.42801, 0.154574, 2.20934, 5.78084, 6.94007, 11.152, 11.7664, 13.2662, 10.1051, 5.72501, 2.08672, 0.62284, 2.71492, 9.95282, 9.69877, 5.74734
46.5, -60, 1982, -0.426277, -1.52236, 0.254054, 2.35181, 6.29386, 8.84417, 10.8865, 12.5261, 11.9934, 10.3775, 7.70186, 4.30524, 0.785534, 2.96657, 10.7523, 10.0243, 6.13216
46.5, -60, 1983, -1.14708, -2.35332, -0.471137, 1.43194, 5.65776, 7.87468, 11.8784, 12.6633, 12.1381, 10.9139, 7.90442, 5.20042, 0.566675, 2.20619, 10.8055, 10.3188, 5.97428
46.5, -60, 1984, 2.10107, -2.36037, 0.437143, 2.02135, 6.43847, 9.51143, 9.90506, 11.5633, 11.7961, 8.66565, 6.29313, 1.20979, 0.316831, 2.96565, 10.3266, 8.91831, 5.63184
46.5, -60, 1985, -1.61022, -1.17155, 0.587041, 1.61473, 4.45855, 8.35626, 11.9786, 11.2854, 10.5259, 10.0362, 6.95641, 3.5782, 0.265476, 2.22011, 10.5401, 9.17284, 5.54963
46.5, -60, 1986, 0.566322, -1.131, -2.13451, 2.82327, 6.43367, 9.79764, 12.2569, 12.7396, 13.1786, 11.0881, 7.83557, 4.8811, 1.4388, 2.37414, 11.598, 10.7008, 6.52794
46.5, -60, 1987, -1.17749, -1.61136, 0.131927, 2.25009, 5.88112, 8.60714, 10.801, 12.5159, 12.6685, 9.26152, 6.07473, 2.86919, 0.0267789, 2.75438, 10.6413, 9.33493, 5.68936
46.5, -60, 1988, -0.604229, -0.755671, -0.466919, 2.16966, 5.49463, 7.88565, 11.598, 12.5085, 12.6983, 10.9813, 7.34755, 2.69503, 0.445045, 2.39912, 10.664, 10.3424, 5.96265
46.5, -60, 1989, -0.715854, -0.744867, 0.129834, 2.82751, 6.23715, 9.04309, 11.9395, 11.8855, 12.7586, 10.4743, 5.99087, 2.65637, 0.398549, 3.06483, 10.956, 9.74127, 6.04017
46.5, -60, 1990, -2.62, -3.2161, -2.13752, 0.65557, 5.02832, 8.36103, 11.7814, 11.7587, 12.7384, 9.38184, 7.13753, 2.18438, -1.21724, 1.18212, 10.6337, 9.7526, 5.0878
46.5, -60, 1991, -4.44551, -3.29437, -1.008, 2.37501, 5.99912, 7.49601, 10.6547, 13.0933, 11.3711, 10.778, 7.06435, 2.62844, -1.70382, 2.45538, 10.4147, 9.73783, 5.22602
46.5, -60, 1992, -2.22719, -3.88233, -2.25537, -0.0148712, 4.02024, 7.53087, 11.1807, 11.6507, 11.1436, 8.99506, 7.07021, 3.4858, -0.87457, 0.583334, 10.1208, 9.06962, 4.72479
46.5, -60, 1993, -0.898152, -3.01132, -0.581869, 1.18546, 2.858, 7.75427, 10.5396, 12.2796, 11.0808, 9.15035, 7.42282, 3.07459, -0.278297, 1.15386, 10.1912, 9.21801, 5.07118
46.5, -60, 1994, -0.856859, -1.19305, 0.583724, 2.16839, 5.59163, 8.72769, 12.6224, 12.6218, 11.6754, 9.67456, 6.89016, 2.88672, 0.278937, 2.78125, 11.3239, 9.41337, 5.94938
46.5, -60, 1995, -0.732305, -2.13875, -0.449319, 2.10948, 5.57731, 9.52806, 12.6226, 12.7306, 12.1483, 10.3518, 6.94722, 4.62565, 0.584865, 2.41249, 11.6271, 9.81578, 6.11005
46.5, -60, 1996, 0.441673, -1.41995, 0.0402998, 2.10888, 4.58817, 8.48272, 11.1219, 13.0341, 12.685, 10.8147, 7.33291, 3.30568, 0.775799, 2.24578, 10.8796, 10.2775, 6.04467
46.5, -60, 1997, 1.18958, -0.664851, -0.623524, 2.78564, 5.37286, 11.0243, 13.2563, 12.916, 12.8153, 11.212, 7.91459, 4.95964, 1.82812, 2.51166, 12.3989, 10.6473, 6.84649
46.5, -60, 1998, -0.0965569, -3.16378, -0.122152, 1.76685, 6.75409, 8.55836, 11.6734, 12.4046, 11.9509, 10.2863, 6.97151, 4.3127, 0.35079, 2.79959, 10.8788, 9.73623, 5.94136
46.5, -60, 1999, -1.7084, -2.78446, -0.771598, 1.80363, 5.51127, 9.18536, 12.265, 13.0221, 13.2497, 9.99162, 7.05718, 2.94629, -0.515521, 2.1811, 11.4908, 10.0995, 5.81398
46.5, -60, 2000, -0.329875, -0.380546, 0.782669, 3.57869, 7.94383, 9.61198, 11.4779, 12.2857, 12.0316, 9.30182, 7.13455, 4.12122, 1.13693, 4.10173, 11.1252, 9.48934, 6.4633
47, -60, 1971, -0.514022, -2.52316, -1.79924, 1.31686, 4.94291, 7.15062, 10.0659, 11.6321, 11.2985, 9.61051, 5.68178, 3.19781, 0.0535434, 1.48684, 9.61619, 8.86361, 5.00505
47, -60, 1972, 0.123972, -1.25891, -1.25793, 0.664084, 3.46309, 7.45511, 9.54343, 11.0948, 11.0556, 9.26177, 6.34803, 2.05059, 0.305217, 0.956414, 9.36443, 8.88846, 4.87863
