
Download Data - raw
Regional - CRCM4.2.3 (Run 1) - SR-A2
Air Temperature - Mean Min (2m) (degC)
Area: 46.48N 59.85W to 51.69N 51.41W
Baseline Years: 1971 - 2000

lat, lon, year, january, february, march, april, may, june, july, august, september, october, november, december, winter, spring, summer, autumn, annual
46.5, -60, 1971, -3.13406, -5.87856, -4.19667, -0.680703, 3.76688, 6.29613, 9.54737, 10.2885, 9.66308, 7.71345, 3.80123, 0.855987, -2.71888, -0.370164, 8.71068, 7.05925, 3.17022
46.5, -60, 1972, -2.17894, -3.59739, -3.18747, -1.67569, 2.29899, 6.50038, 8.57845, 9.91302, 9.39697, 7.25084, 4.46189, -0.165776, -1.9807, -0.854724, 8.33062, 7.03657, 3.13294
46.5, -60, 1973, -1.36696, -5.36889, -4.18949, -1.40838, 2.20587, 5.00402, 8.30002, 9.70227, 9.3757, 6.99636, 3.8451, -1.40801, -2.71462, -1.13067, 7.66877, 6.73905, 2.64063
46.5, -60, 1974, -4.55473, -4.19928, -4.46036, -1.80497, 1.37625, 4.9877, 8.83008, 9.92713, 9.39557, 7.11484, 4.44897, 1.92709, -2.27564, -1.62969, 7.91497, 6.98646, 2.74902
46.5, -60, 1975, -2.51554, -5.12857, -3.46281, -0.811157, 3.06594, 6.183, 8.8728, 9.77559, 10.0224, 8.16422, 5.88788, 3.3177, -1.44214, -0.402674, 8.27713, 8.02483, 3.61429
46.5, -60, 1976, -1.45282, -3.56519, -3.75731, -0.976306, 1.90961, 6.41512, 8.87563, 10.1673, 9.78725, 7.23482, 3.9444, 0.89799, -1.37334, -0.941337, 8.48603, 6.98882, 3.29004
46.5, -60, 1977, -3.50168, -5.29026, -5.20778, -2.92651, 2.51185, 4.97569, 8.15789, 9.17343, 9.65193, 7.64254, 5.49952, 1.59514, -2.39893, -1.87414, 7.43567, 7.59799, 2.69015
46.5, -60, 1978, -2.57169, -1.82988, -0.95496, -0.88104, 2.23784, 6.14736, 9.34289, 9.91215, 9.27601, 6.94868, 5.29084, 1.83819, -0.85446, 0.133946, 8.46747, 7.17184, 3.7297
46.5, -60, 1979, -2.32069, -3.07934, -2.43889, -0.198179, 3.22987, 6.13643, 9.72779, 9.66353, 9.48322, 9.0602, 4.52393, 0.876431, -1.50787, 0.197602, 8.50925, 7.68912, 3.72202
46.5, -60, 1980, -2.54003, -6.36837, -4.34272, -0.990624, 3.59464, 7.06107, 9.99524, 10.4789, 9.77923, 7.72025, 4.36082, 1.8196, -2.36293, -0.579568, 9.17841, 7.28677, 3.38067
46.5, -60, 1981, -0.661984, -3.32907, -1.83866, 0.559666, 3.41897, 5.50527, 9.22465, 9.73267, 10.5343, 8.39223, 4.24436, 0.504592, -1.16215, 0.713324, 8.1542, 7.72363, 3.85725
46.5, -60, 1982, -2.22672, -3.46677, -1.56929, 0.451082, 3.98159, 6.63461, 8.8202, 10.219, 9.82106, 8.76983, 6.26668, 2.9433, -0.916731, 0.95446, 8.55794, 8.28586, 4.22038
46.5, -60, 1983, -3.30132, -5.12748, -1.98445, 0.0772924, 2.91717, 5.81493, 9.1888, 10.6004, 10.1369, 9.00523, 6.26983, 3.49845, -1.64345, 0.336673, 8.53472, 8.47065, 3.92465
46.5, -60, 1984, 0.566351, -4.30039, -1.49493, -0.124191, 4.0887, 7.34611, 8.57428, 9.83405, 9.95048, 7.21163, 4.34848, -0.216282, -1.31677, 0.823194, 8.58481, 7.1702, 3.81536
46.5, -60, 1985, -3.75477, -2.51253, -0.85126, -1.11593, 2.69264, 6.40768, 9.49178, 9.56938, 9.18288, 8.21135, 5.16053, 2.48354, -1.26126, 0.241817, 8.48961, 7.51825, 3.74711
46.5, -60, 1986, -1.84618, -3.32361, -4.24633, 0.866486, 3.89382, 7.20433, 10.3774, 10.7789, 11.0059, 9.53442, 6.59337, 3.83041, -0.446459, 0.171326, 9.45357, 9.04456, 4.55575
46.5, -60, 1987, -2.93884, -3.85352, -2.48387, 0.521076, 3.76809, 6.44947, 8.91122, 10.4237, 10.2365, 7.63064, 4.87544, 1.68322, -1.70305, 0.601765, 8.5948, 7.58087, 3.76859
46.5, -60, 1988, -3.00535, -2.78344, -2.14598, 0.508203, 3.24684, 5.47963, 9.18628, 10.2961, 10.4621, 9.24179, 5.85316, 0.291891, -1.8323, 0.536357, 8.32067, 8.51901, 3.88593
46.5, -60, 1989, -2.82264, -2.54446, -2.01867, 0.511246, 3.85359, 6.88461, 9.68666, 10.1983, 10.8128, 8.67197, 4.48701, 1.43289, -1.3114, 0.782053, 8.92319, 7.99058, 4.09611
46.5, -60, 1990, -4.38864, -5.27384, -4.53987, -1.46195, 2.4781, 5.80771, 9.52522, 9.773, 10.5808, 7.7676, 5.46459, 0.684657, -2.99261, -1.17457, 8.36864, 7.93767, 3.03478
46.5, -60, 1991, -6.46448, -5.48749, -2.97842, 0.178185, 3.74352, 5.70704, 8.34179, 10.4334, 9.17793, 9.13666, 5.3424, 0.597896, -3.78469, 0.31443, 8.16075, 7.88566, 3.14404
46.5, -60, 1992, -4.54148, -6.16927, -3.86102, -1.40254, 1.95429, 5.44536, 8.88812, 9.71008, 9.48338, 7.28389, 5.49272, 1.7561, -2.98488, -1.10309, 8.01452, 7.42, 2.83664
46.5, -60, 1993, -2.50858, -4.93795, -2.20029, -0.887907, 1.3829, 5.49598, 8.11019, 9.99991, 9.14846, 7.46941, 5.61258, 0.804552, -2.21399, -0.56843, 7.86869, 7.41015, 3.1241
46.5, -60, 1994, -3.11103, -3.01707, -0.866958, 0.0767171, 3.69456, 6.64255, 10.4929, 10.3685, 9.70003, 7.90696, 5.15959, 1.32155, -1.60218, 0.968106, 9.16799, 7.58886, 4.03069
46.5, -60, 1995, -3.15523, -4.41887, -1.79548, 0.0860279, 3.4625, 6.89269, 10.1158, 10.6013, 10.2201, 8.63368, 5.42654, 3.32224, -1.41728, 0.584348, 9.20327, 8.09344, 4.11594
46.5, -60, 1996, -1.81466, -3.75704, -2.13891, -0.0734774, 2.98556, 6.78623, 9.30506, 11.0439, 10.192, 9.25477, 5.80625, 2.00043, -1.19042, 0.257724, 9.04506, 8.41768, 4.13251
46.5, -60, 1997, -0.607878, -3.18111, -2.87793, 0.661658, 3.29057, 8.17604, 10.7253, 10.9027, 10.6905, 9.17416, 6.3457, 3.57059, -0.0727988, 0.3581, 9.93468, 8.73678, 4.73919
46.5, -60, 1998, -2.01577, -5.02414, -2.66836, -0.690413, 4.00185, 6.17253, 9.03935, 10.5914, 9.96974, 8.41378, 5.7224, 2.93, -1.36997, 0.21436, 8.60108, 8.03531, 3.87019
