,Date,MinTemp,MaxTemp,GDD
0,2015-01-01,-8.1,-3.0,0.0
1,2015-01-02,-15.8,-3.8,0.0
2,2015-01-03,-15.5,-9.6,0.0
3,2015-01-04,-9.6,-0.4,0.0
4,2015-01-05,-21.9,-8.6,0.0
5,2015-01-06,-24.8,-9.6,0.0
6,2015-01-07,-29.0,-10.3,0.0
7,2015-01-08,-29.9,-8.4,0.0
8,2015-01-09,-15.8,-6.3,0.0
9,2015-01-10,-16.8,-9.5,0.0
10,2015-01-11,-13.7,-3.5,0.0
11,2015-01-12,-20.2,-2.4,0.0
12,2015-01-13,-24.8,-17.3,0.0
13,2015-01-14,-26.3,-13.6,0.0
14,2015-01-15,-22.1,-3.7,0.0
15,2015-01-16,-22.0,-3.0,0.0
16,2015-01-17,-26.9,-14.9,0.0
17,2015-01-18,-15.2,4.4,0.0
18,2015-01-19,-16.6,0.3,0.0
19,2015-01-20,-20.9,-14.9,0.0
20,2015-01-21,-21.6,-9.9,0.0
21,2015-01-22,-19.7,-7.8,0.0
22,2015-01-23,-11.9,0.1,0.0
23,2015-01-24,-5.2,-1.8,0.0
24,2015-01-25,-18.4,-5.2,0.0
25,2015-01-26,-24.2,-13.5,0.0
26,2015-01-27,-17.5,-9.2,0.0
27,2015-01-28,-18.8,-8.0,0.0
28,2015-01-29,-20.0,-7.0,0.0
29,2015-01-30,-20.6,-5.5,0.0
30,2015-01-31,-25.2,-13.9,0.0
31,2015-02-01,-20.3,-13.9,0.0
32,2015-02-02,-23.1,-14.7,0.0
33,2015-02-03,-26.0,-7.8,0.0
34,2015-02-04,-12.7,-5.0,0.0
35,2015-02-05,-25.3,-12.2,0.0
36,2015-02-06,-22.8,-7.9,0.0
37,2015-02-07,-15.1,-10.8,0.0
38,2015-02-08,-17.5,-13.4,0.0
39,2015-02-09,-15.5,-12.1,0.0
40,2015-02-10,-13.1,-4.6,0.0
41,2015-02-11,-17.2,-11.2,0.0
42,2015-02-12,-22.1,-9.0,0.0
43,2015-02-13,-26.8,-18.8,0.0
44,2015-02-14,-21.4,-12.9,0.0
45,2015-02-15,-24.1,-13.6,0.0
46,2015-02-16,-26.6,-16.8,0.0
47,2015-02-17,-26.4,-12.8,0.0
48,2015-02-18,-22.7,-7.2,0.0
49,2015-02-19,-21.1,-11.8,0.0
50,2015-02-20,-22.9,-14.3,0.0
51,2015-02-21,-20.4,-10.9,0.0
52,2015-02-22,-15.7,-3.5,0.0
