Station Name	OTTAWA INTL A																									
Province	ONTARIO																									
Latitude	45.32																									
Longitude	-75.67																									
Elevation	114.9																									
Climate Identifier	6106001																									
WMO Identifier	71628																									
TC Identifier	YOW																									
																										
Legend																										
A	Accumulated																									
C	"Precipitation occurred, amount uncertain"																									
E	Estimated																									
F	Accumulated and estimated																									
L	Precipitation may or may not have occurred																									
M	Missing																									
N	Temperature missing but known to be > 0																									
S	More than one occurrence																									
T	Trace																									
Y	Temperature missing but known to be < 0																									
[empty]	No data available																									
^	The value displayed is based on incomplete data																									
†	Data for this day has undergone only basic quality checking																									
‡	Partner data that is not subject to review by the National Climate Archives																									
																										
Date/Time	Year	Month	Day	Data Quality	Max Temp (°C)	Max Temp Flag	Min Temp (°C)	Min Temp Flag	Mean Temp (°C)	Mean Temp Flag	Heat Deg Days (°C)	Heat Deg Days Flag	Cool Deg Days (°C)	Cool Deg Days Flag	Total Rain (mm)	Total Rain Flag	Total Snow (cm)	Total Snow Flag	Total Precip (mm)	Total Precip Flag	Snow on Grnd (cm)	Snow on Grnd Flag	Dir of Max Gust (10s deg)	Dir of Max Gust Flag	Spd of Max Gust (km/h)	Spd of Max Gust Flag
1/1/2015	2015	1	1	‡	-3		-8.1		-5.6		23.6		0		0		0.2		0.2		0		23		56	
1/2/2015	2015	1	2	‡	-3.8		-15.8		-9.8		27.8		0		0		0	T	0	T	0	T	28		50	
1/3/2015	2015	1	3	‡	-9.6		-15.5		-12.6		30.6		0		0		18		13.6		0	T	7		43	
1/4/2015	2015	1	4	‡	-0.4		-9.6		-5		23		0		10.8		0.4		11.2		16		29		54	
1/5/2015	2015	1	5	‡	-8.6		-21.9		-15.3		33.3		0		0		0	T	0	T	15		28		56	
1/6/2015	2015	1	6	‡	-9.6		-24.8		-17.2		35.2		0		0		0.6		0.4		15				<31	
1/7/2015	2015	1	7	‡	-10.3		-29		-19.7		37.7		0		0		2		0.8		16		32		61	
1/8/2015	2015	1	8	‡	-8.4		-29.9		-19.2		37.2		0		0		2.6		1.6		15		20		48	
1/9/2015	2015	1	9	‡	-6.3		-15.8		-11.1		29.1		0		0		4.4		2.6		20		26		54	
1/10/2015	2015	1	10	‡	-9.5		-16.8		-13.2		31.2		0		0		0		0		20		21		46	
1/11/2015	2015	1	11	‡	-3.5		-13.7		-8.6		26.6		0		0		0.4		0.2		20				<31	
1/12/2015	2015	1	12	‡	-2.4		-20.2		-11.3		29.3		0		0		5.6		2.8		23		34		52	
1/13/2015	2015	1	13	‡	-17.3		-24.8		-21.1		39.1		0		0		0		0		25		35		35	
1/14/2015	2015	1	14	‡	-13.6		-26.3		-20		38		0		0		0		0		25				<31	
1/15/2015	2015	1	15	‡	-3.7		-22.1		-12.9		30.9		0		0		2		1.6		25		20		41	
1/16/2015	2015	1	16	‡	-3		-22		-12.5		30.5		0		0		1		0.4		26		30		59	
1/17/2015	2015	1	17	‡	-14.9		-26.9		-20.9		38.9		0		0		0		0		26		10		43	
1/18/2015	2015	1	18	‡	4.4		-15.2		-5.4		23.4		0		0.6		0		0.6		26		17		39	
1/19/2015	2015	1	19	‡	0.3		-16.6		-8.2		26.2		0		0		4		2		29		29		52	
1/20/2015	2015	1	20	‡	-14.9		-20.9		-17.9		35.9		0		0		0		0		26		28		35	
1/21/2015	2015	1	21	‡	-9.9		-21.6		-15.8		33.8		0		0		0		0		26				<31	
1/22/2015	2015	1	22	‡	-7.8		-19.7		-13.8		31.8		0		0		0		0		26				<31	
1/23/2015	2015	1	23	‡	0.1		-11.9		-5.9		23.9		0		0		0	T	0	T	24		20		56	
1/24/2015	2015	1	24	‡	-1.8		-5.2		-3.5		21.5		0		0		2.8		1.2		23		32		56	
1/25/2015	2015	1	25	‡	-5.2		-18.4		-11.8		29.8		0		0		0.4		0	T	25		32		57	
1/26/2015	2015	1	26	‡	-13.5		-24.2		-18.9		36.9		0		0		0		0		25		5		35	
1/27/2015	2015	1	27	‡	-9.2		-17.5		-13.4		31.4		0		0		0		0		25		33		33	
1/28/2015	2015	1	28	‡	-8		-18.8		-13.4		31.4		0		0		0		0		25		33		32	
1/29/2015	2015	1	29	‡	-7		-20		-13.5		31.5		0		2.4		7.4		9		25		8		39	
1/30/2015	2015	1	30	‡	-5.5		-20.6		-13.1		31.1		0		0		3		1.6		33		32		56	
1/31/2015	2015	1	31	‡	-13.9		-25.2		-19.6		37.6		0		0		1		0.4		33				<31	
2/1/2015	2015	2	1	‡	-13.9		-20.3		-17.1		35.1		0		0		0	T	0		34		33		43	
2/2/2015	2015	2	2	‡	-14.7		-23.1		-18.9		36.9		0		0		5.4		3		35		5		52	
2/3/2015	2015	2	3	‡	-7.8		-26		-16.9		34.9		0		0		0.2		0.2		39		21		33	
2/4/2015	2015	2	4	‡	-5		-12.7		-8.9		26.9		0		0		9.2		4.4		39		34		43	
2/5/2015	2015	2	5	‡	-12.2		-25.3		-18.8		36.8		0		0		0		0		46		27		33	
2/6/2015	2015	2	6	‡	-7.9		-22.8		-15.4		33.4		0		0		1.8		1.2		46				<31	
2/7/2015	2015	2	7	‡	-10.8		-15.1		-13		31		0		0		2.6		2.2		45		3		39	
2/8/2015	2015	2	8	‡	-13.4		-17.5		-15.5		33.5		0		0		5.6		4		47		5		50	
2/9/2015	2015	2	9	‡	-12.1		-15.5		-13.8		31.8		0		0		0.4		0.2		51		8		46	
2/10/2015	2015	2	10	‡	-4.6		-13.1		-8.9		26.9		0		0		0	T	0	T	51				<31	
2/11/2015	2015	2	11	‡	-11.2		-17.2		-14.2		32.2		0		0		6		3.4		50		9		33	
2/12/2015	2015	2	12	‡	-9		-22.1		-15.6		33.6		0		0		6.2		3.2		60		33		54	
2/13/2015	2015	2	13	‡	-18.8		-26.8		-22.8		40.8		0		0		0.2		0	T	55		29		35	
2/14/2015	2015	2	14	‡	-12.9		-21.4		-17.2		35.2		0		0		8.8		4.6		59		8		41	
